system:index,ar_ms_2,m_GEOID,max,mean,msa_nam,stdDev,.geo
00000000000000000000,15544.47112046762,42660,0.9940999746322632,0.6096635444183556,"Seattle-Tacoma-Bellevue, WA Metro Area",0.1807272537199018,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,11191.769307798355,44060,0.8283608555793762,0.49038465771669015,"Spokane-Spokane Valley, WA Metro Area",0.1283818468140326,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,20961.83068070944,41620,0.6151782870292664,0.1518717956672423,"Salt Lake City, UT Metro Area",0.10987611518831106,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,4108.336777755664,15380,0.7034608721733093,0.5037760867129611,"Buffalo-Cheektowaga, NY Metro Area",0.08693672412280126,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,15568.987217263364,23420,0.8096391558647156,0.3721379225003684,"Fresno, CA Metro Area",0.15129608953151635,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,1461.8294865110374,33780,0.7146999835968018,0.45998406232394506,"Monroe, MI Metro Area",0.09280704939781284,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,1579.7615399643053,12100,0.824230432510376,0.5725560412181949,"Atlantic City-Hammonton, NJ Metro Area",0.18409305368517917,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,592.7167621287658,45940,0.7589173913002014,0.581858743126447,"Trenton-Princeton, NJ Metro Area",0.08955031968017715,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,13839.521640881598,38300,0.7635043263435364,0.5998673091806527,"Pittsburgh, PA Metro Area",0.06671407486104308,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,5224.9244846847205,17460,0.7170826196670532,0.5113894996110797,"Cleveland-Elyria, OH Metro Area",0.08866646498981878,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,4339.726864412332,41140,0.6449434757232666,0.48204850586064063,"St. Joseph, MO-KS Metro Area",0.0685463440235166,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,14456.313561183124,36420,0.7405695915222168,0.5031493595873953,"Oklahoma City, OK Metro Area",0.07878860244004818,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,20932.458678718034,41180,0.7653825879096985,0.5341774105213797,"St. Louis, MO-IL Metro Area",0.11444181996267883,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,11622.100584779966,40060,0.8541913032531738,0.6756041264237809,"Richmond, VA Metro Area",0.10600883516323527,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,13743.797111713124,40900,0.8748260736465454,0.5017186592336029,"Sacramento-Roseville-Folsom, CA Metro Area",0.16621026733558492,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,6910.6039036004895,16620,0.7913521528244019,0.6533734824964011,"Charleston, WV Metro Area",0.05355391968287097,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,5992.668140256502,19340,0.6492695808410645,0.4206700093066042,"Davenport-Moline-Rock Island, IA-IL Metro Area",0.07174256976525568,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,5560.002252497664,31340,0.8375999927520752,0.6682936709765933,"Lynchburg, VA Metro Area",0.06136345961229096,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,22273.33973395728,26420,0.8600478172302246,0.5809978281033514,"Houston-The Woodlands-Sugar Land, TX Metro Area",0.14655882112220403,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,8807.398244313743,37900,0.6896695494651794,0.4569848274204895,"Peoria, IL Metro Area",0.08386922984833618,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,6105.833206852888,33660,0.8746348023414612,0.7152179883543638,"Mobile, AL Metro Area",0.10400953287895583,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,12171.569642153156,32820,0.8427565097808838,0.5611742121918966,"Memphis, TN-MS-AR Metro Area",0.14102426437510243,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,11032.243022935052,41740,0.8274086713790894,0.3807959168837162,"San Diego-Chula Vista-Carlsbad, CA Metro Area",0.1609416574123475,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,3868.860305207642,33340,0.7421956658363342,0.4434293591983271,"Milwaukee-Waukesha, WI Metro Area",0.08030903481504206,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,3088.4839429024255,44100,0.6707826256752014,0.46332349543704465,"Springfield, IL Metro Area",0.06375305870362542,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,7216.664632449613,33860,0.8575913310050964,0.6875892258028244,"Montgomery, AL Metro Area",0.09252800864353392,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,13425.459788914957,11100,0.7276478409767151,0.3348113796688758,"Amarillo, TX Metro Area",0.04619147174173096,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,1054.1022103468727,30620,0.669169545173645,0.4324560717495165,"Lima, OH Metro Area",0.06391900533154882,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,19476.336830380027,33460,0.7481478452682495,0.4061730433902546,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",0.08194093646904267,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,12294.204829924476,37980,0.9211999773979187,0.5801106093823775,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",0.11984716953713513,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,14470.287327786084,21340,0.6913825869560242,0.16652778298143775,"El Paso, TX Metro Area",0.043191408635723266,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,29133.034823712656,20260,0.7596782445907593,0.4649722831849766,"Duluth, MN-WI Metro Area",0.08811725170328624,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,3206.674346619156,13780,0.7616956830024719,0.5807788538348372,"Binghamton, NY Metro Area",0.058038620464881605,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,3694.9283014790867,44700,0.8261130452156067,0.48427686017741567,"Stockton, CA Metro Area",0.10834853806213408,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,3700.1046631262157,42340,0.8727086782455444,0.6549579655579191,"Savannah, GA Metro Area",0.15601821894696452,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,3064.9367731743723,38420,0.7293304204940796,0.4716449011301844,"Platteville, WI Micro Area",0.08241573935767384,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,2547.9592724850304,29540,0.7628500461578369,0.5663314857074455,"Lancaster, PA Metro Area",0.10125603358389218,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,9277.206152888337,12260,0.8834086656570435,0.6712719713983047,"Augusta-Richmond County, GA-SC Metro Area",0.11853289020487723,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,6085.195640423861,20500,0.8530304431915283,0.6785883576834832,"Durham-Chapel Hill, NC Metro Area",0.09076196616424795,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,5537.419575697567,16860,0.8441348075866699,0.6723013703324316,"Chattanooga, TN-GA Metro Area",0.09204670438801629,"{""type"":""MultiPoint"",""coordinates"":[]}"
