system:index,ar_ms_2,m_GEOID,max,mean,msa_nam,stdDev,.geo
00000000000000000000,15544.47112046762,42660,0.9358500242233276,0.6198860235097393,"Seattle-Tacoma-Bellevue, WA Metro Area",0.1927801048729648,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,11191.769307798355,44060,0.8351173996925354,0.5146697521918774,"Spokane-Spokane Valley, WA Metro Area",0.123989098419866,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,20961.83068070944,41620,0.7831000089645386,0.14938264271688667,"Salt Lake City, UT Metro Area",0.105921722225284,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,4108.336777755664,15380,0.7102130651473999,0.5172137813376816,"Buffalo-Cheektowaga, NY Metro Area",0.08696530300981954,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,15568.987217263364,23420,0.860086977481842,0.36846870325943415,"Fresno, CA Metro Area",0.15073794816706257,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,1461.8294865110374,33780,0.7198348045349121,0.47057240346188695,"Monroe, MI Metro Area",0.08582767023796385,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,1579.7615399643053,12100,0.8284695744514465,0.5886892352609218,"Atlantic City-Hammonton, NJ Metro Area",0.17602510595680723,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,592.7167621287658,45940,0.7825173735618591,0.6036977488011962,"Trenton-Princeton, NJ Metro Area",0.09122364521456662,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,13839.521640881598,38300,0.7810652256011963,0.6036289731822247,"Pittsburgh, PA Metro Area",0.0675963927266027,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,5224.9244846847205,17460,0.7217869758605957,0.5336737200436674,"Cleveland-Elyria, OH Metro Area",0.08904026187226233,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,4339.726864412332,41140,0.6679652333259583,0.4948960976542726,"St. Joseph, MO-KS Metro Area",0.06478956487126572,"{""type"":""MultiPoint"",""coordinates"":[]}"
