system:index,ar_hl_2,city,cty_stt,globl_d,hlc_grd,holc_id,id,max,mean,state,stdDev,.geo
00000000000000000000,4.751164763734486,Birmingham,"Birmingham, AL",1,A,A1,AL_Birmingham_A1_A_1,0.7472739219665527,0.6762828768015618,AL,0.06845585191959681,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,2.667106123536017,Birmingham,"Birmingham, AL",2,A,A2,AL_Birmingham_A2_A_2,0.7395217418670654,0.6383844610604688,AL,0.05131641373618086,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,1.241928184503596,Birmingham,"Birmingham, AL",3,A,A3,AL_Birmingham_A3_A_3,0.7061173915863037,0.6210943150375138,AL,0.0437900362085294,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,4.536722099206552,Birmingham,"Birmingham, AL",4,B,B1,AL_Birmingham_B1_B_4,0.6647478342056274,0.5530709038743845,AL,0.06950671025450973,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,0.158420038703103,Birmingham,"Birmingham, AL",5,B,B10,AL_Birmingham_B10_B_5,0.6241347789764404,0.5563182520866395,AL,0.06061994717598219,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,0.449979249984045,Birmingham,"Birmingham, AL",6,B,B11,AL_Birmingham_B11_B_6,0.5826913118362427,0.5451032443777648,AL,0.02975396581142149,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,0.767451668349769,Birmingham,"Birmingham, AL",7,B,B12,AL_Birmingham_B12_B_7,0.6586260795593262,0.5556449842809763,AL,0.056748372904324176,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,0.432087494625673,Birmingham,"Birmingham, AL",8,B,B13,AL_Birmingham_B13_B_8,0.6587738990783691,0.6323902182390586,AL,0.025535554788574024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,1.646220693703297,Birmingham,"Birmingham, AL",9,B,B14,AL_Birmingham_B14_B_9,0.7421261072158813,0.6572489781139563,AL,0.07800716543812024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,0.144474144187093,Birmingham,"Birmingham, AL",10,B,B15,AL_Birmingham_B15_B_10,0.6032956838607788,0.559747597144616,AL,0.05159676480139646,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,0.136699781790137,Birmingham,"Birmingham, AL",11,B,B16,AL_Birmingham_B16_B_11,0.6127130389213562,0.5209122610776447,AL,0.06429596534337835,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,1.925629519871755,Birmingham,"Birmingham, AL",12,B,B2,AL_Birmingham_B2_B_12,0.7395217418670654,0.6239004825513841,AL,0.10085026286017017,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,0.490105783412065,Birmingham,"Birmingham, AL",13,B,B3,AL_Birmingham_B3_B_13,0.6740391254425049,0.6132619162117446,AL,0.03575568580521503,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,0.50045085127238,Birmingham,"Birmingham, AL",14,B,B4,AL_Birmingham_B4_B_14,0.6842260956764221,0.6469564410199559,AL,0.02888577244355143,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,1.363377814473916,Birmingham,"Birmingham, AL",15,B,B5,AL_Birmingham_B5_B_15,0.695504367351532,0.5300324982587901,AL,0.10871983251723469,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,1.095644755057238,Birmingham,"Birmingham, AL",16,B,B6,AL_Birmingham_B6_B_16,0.6997434496879578,0.5690158728163524,AL,0.04917657519538051,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,0.224122881235577,Birmingham,"Birmingham, AL",17,B,B7,AL_Birmingham_B7_B_17,0.5557087063789368,0.5234945074225469,AL,0.058558541573951746,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,0.415337320405576,Birmingham,"Birmingham, AL",18,B,B8,AL_Birmingham_B8_B_18,0.5669043660163879,0.5537696660478341,AL,0.01298971315429716,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,0.179010022861801,Birmingham,"Birmingham, AL",19,B,B9,AL_Birmingham_B9_B_19,0.6463130116462708,0.6320045449676904,AL,0.034266757321296894,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,0.165261859684944,Birmingham,"Birmingham, AL",20,C,C1,AL_Birmingham_C1_C_20,0.4881565272808075,0.4603140900471008,AL,0.06132218624068326,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,0.112705763170607,Birmingham,"Birmingham, AL",21,C,C1,AL_Birmingham_C1_C_21,0.6231869459152222,0.5405010860549275,AL,0.04068968529957802,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,0.946118600735813,Birmingham,"Birmingham, AL",22,C,C1,AL_Birmingham_C1_C_22,0.5977217555046082,0.5217038474975416,AL,0.07492187513737289,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,0.925446880235294,Birmingham,"Birmingham, AL",23,C,C10,AL_Birmingham_C10_C_23,0.6665825843811035,0.5403539923948983,AL,0.12280330473434564,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,2.354833859120177,Birmingham,"Birmingham, AL",24,C,C11,AL_Birmingham_C11_C_24,0.6444478034973145,0.466097494297182,AL,0.11589244371334474,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,1.671045301708195,Birmingham,"Birmingham, AL",25,C,C12,AL_Birmingham_C12_C_25,0.6842260956764221,0.6116718880464816,AL,0.07464099642553759,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,0.408049087643599,Birmingham,"Birmingham, AL",26,C,C13,AL_Birmingham_C13_C_26,0.5830913186073303,0.4462463160161291,AL,0.07398305402712972,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,2.19650353183512,Birmingham,"Birmingham, AL",27,C,C14,AL_Birmingham_C14_C_27,0.6145738959312439,0.4897670726155595,AL,0.08115281210245844,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,3.119015131331129,Birmingham,"Birmingham, AL",28,C,C15,AL_Birmingham_C15_C_28,0.6666347980499268,0.5243388159669223,AL,0.06865932924044695,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,0.501174874889575,Birmingham,"Birmingham, AL",29,C,C16,AL_Birmingham_C16_C_29,0.5607478022575378,0.4931548457238795,AL,0.053627419903859865,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,0.999507880413443,Birmingham,"Birmingham, AL",30,C,C16,AL_Birmingham_C16_C_30,0.5913695693016052,0.5096124419444555,AL,0.07500828918269646,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,1.09782306438759,Birmingham,"Birmingham, AL",31,C,C17,AL_Birmingham_C17_C_31,0.5779477953910828,0.4777384018255431,AL,0.0834329341980826,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,0.66468445952189,Birmingham,"Birmingham, AL",32,C,C18,AL_Birmingham_C18_C_32,0.617039144039154,0.5073749139744748,AL,0.09426104735696995,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,0.713796581076045,Birmingham,"Birmingham, AL",33,C,C19,AL_Birmingham_C19_C_33,0.6304304003715515,0.5819259495684732,AL,0.029019447635790042,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,2.180292228204464,Birmingham,"Birmingham, AL",34,C,C2,AL_Birmingham_C2_C_34,0.6064043641090393,0.49531060863269477,AL,0.0640316547851445,"{""type"":""MultiPoint"",""coordinates"":[]}"
