system:index,ar_hl_2,city,cty_stt,globl_d,hlc_grd,holc_id,id,max,mean,state,stdDev,.geo
00000000000000000000,4.751164763734486,Birmingham,"Birmingham, AL",1,A,A1,AL_Birmingham_A1_A_1,0.74095219373703,0.6720612040575045,AL,0.06492485757647427,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,2.667106123536017,Birmingham,"Birmingham, AL",2,A,A2,AL_Birmingham_A2_A_2,0.7315826416015625,0.6361617652678665,AL,0.05257766591312495,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,1.241928184503596,Birmingham,"Birmingham, AL",3,A,A3,AL_Birmingham_A3_A_3,0.6986695528030396,0.6136170095758582,AL,0.04523894377979337,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,4.536722099206552,Birmingham,"Birmingham, AL",4,B,B1,AL_Birmingham_B1_B_4,0.6871086955070496,0.5505934250013186,AL,0.06844169758514657,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,0.158420038703103,Birmingham,"Birmingham, AL",5,B,B10,AL_Birmingham_B10_B_5,0.5988782644271851,0.5605955642269504,AL,0.06575900181245062,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,0.449979249984045,Birmingham,"Birmingham, AL",6,B,B11,AL_Birmingham_B11_B_6,0.5852174162864685,0.5508201744381841,AL,0.029654860602167078,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,0.767451668349769,Birmingham,"Birmingham, AL",7,B,B12,AL_Birmingham_B12_B_7,0.6388826370239258,0.5471528562518522,AL,0.06296352381082938,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,0.432087494625673,Birmingham,"Birmingham, AL",8,B,B13,AL_Birmingham_B13_B_8,0.6556347608566284,0.620276723878787,AL,0.028276862523816837,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,1.646220693703297,Birmingham,"Birmingham, AL",9,B,B14,AL_Birmingham_B14_B_9,0.7301738858222961,0.6463906735522321,AL,0.08033717160411365,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,0.144474144187093,Birmingham,"Birmingham, AL",10,B,B15,AL_Birmingham_B15_B_10,0.5903695821762085,0.5466050970402385,AL,0.05773473439300203,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,0.136699781790137,Birmingham,"Birmingham, AL",11,B,B16,AL_Birmingham_B16_B_11,0.608117401599884,0.5018093882190497,AL,0.073018968692503,"{""type"":""MultiPoint"",""coordinates"":[]}"
