system:index,ar_ms_2,m_GEOID,max,mean,msa_nam,stdDev,.geo
00000000000000000000,15544.47112046762,42660,0.9936000108718872,0.6188413919482969,"Seattle-Tacoma-Bellevue, WA Metro Area",0.18493213822894078,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,11191.769307798355,44060,0.8394217491149902,0.4882869877927357,"Spokane-Spokane Valley, WA Metro Area",0.12831072175523922,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,20961.83068070944,41620,0.6914608478546143,0.1423072966206831,"Salt Lake City, UT Metro Area",0.10982334604868924,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,4108.336777755664,15380,0.6846565008163452,0.4928702025302401,"Buffalo-Cheektowaga, NY Metro Area",0.08598584298001549,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,15568.987217263364,23420,0.8288999795913696,0.36501671843499384,"Fresno, CA Metro Area",0.15207849554250158,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,1461.8294865110374,33780,0.6904869675636292,0.44778713623654914,"Monroe, MI Metro Area",0.08145027530020209,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,1579.7615399643053,12100,0.824647843837738,0.5812706193450963,"Atlantic City-Hammonton, NJ Metro Area",0.18201364236493373,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,592.7167621287658,45940,0.7789739370346069,0.591701573988449,"Trenton-Princeton, NJ Metro Area",0.09410746012517945,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,13839.521640881598,38300,0.753939151763916,0.5873980755929528,"Pittsburgh, PA Metro Area",0.06602962298435074,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,5224.9244846847205,17460,0.7096869349479675,0.5289996171502753,"Cleveland-Elyria, OH Metro Area",0.09193802539577832,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,4339.726864412332,41140,0.6775217652320862,0.4904805538367841,"St. Joseph, MO-KS Metro Area",0.0649719508243923,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,14456.313561183124,36420,0.7443304061889648,0.496302235742966,"Oklahoma City, OK Metro Area",0.07687807198562471,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,20932.458678718034,41180,0.7518565058708191,0.5325568114054158,"St. Louis, MO-IL Metro Area",0.10478567592383661,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,11622.100584779966,40060,0.9160000085830688,0.6680371526531086,"Richmond, VA Metro Area",0.10505574498176898,"{""type"":""MultiPoint"",""coordinates"":[]}"
