system:index,ar_hl_2,city,cty_stt,globl_d,hlc_grd,holc_id,id,max,mean,state,stdDev,.geo
00000000000000000000,4.751164763734486,Birmingham,"Birmingham, AL",1,A,A1,AL_Birmingham_A1_A_1,0.7278521656990051,0.662004748096746,AL,0.06671550066321587,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,2.667106123536017,Birmingham,"Birmingham, AL",2,A,A2,AL_Birmingham_A2_A_2,0.7053738832473755,0.6215393232185236,AL,0.05279021186736878,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,1.241928184503596,Birmingham,"Birmingham, AL",3,A,A3,AL_Birmingham_A3_A_3,0.6954043507575989,0.5994793534318109,AL,0.045766119859208976,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,4.536722099206552,Birmingham,"Birmingham, AL",4,B,B1,AL_Birmingham_B1_B_4,0.6686043739318848,0.5451770639055418,AL,0.06650057507308625,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,0.158420038703103,Birmingham,"Birmingham, AL",5,B,B10,AL_Birmingham_B10_B_5,0.6026130318641663,0.5626089071458387,AL,0.06668932474134501,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,0.449979249984045,Birmingham,"Birmingham, AL",6,B,B11,AL_Birmingham_B11_B_6,0.5785086750984192,0.5273487776040485,AL,0.029999216748017598,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,0.767451668349769,Birmingham,"Birmingham, AL",7,B,B12,AL_Birmingham_B12_B_7,0.610360860824585,0.5325277850260854,AL,0.05224213126369558,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,0.432087494625673,Birmingham,"Birmingham, AL",8,B,B13,AL_Birmingham_B13_B_8,0.6372434496879578,0.6050047655589881,AL,0.02636413196919414,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,1.646220693703297,Birmingham,"Birmingham, AL",9,B,B14,AL_Birmingham_B14_B_9,0.713530421257019,0.627489555014554,AL,0.08348610537408954,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,0.144474144187093,Birmingham,"Birmingham, AL",10,B,B15,AL_Birmingham_B15_B_10,0.5948477983474731,0.5486590886757664,AL,0.0625392973648523,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,0.136699781790137,Birmingham,"Birmingham, AL",11,B,B16,AL_Birmingham_B16_B_11,0.6047086715698242,0.5237094024787137,AL,0.062343665855677334,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,1.925629519871755,Birmingham,"Birmingham, AL",12,B,B2,AL_Birmingham_B2_B_12,0.7053738832473755,0.6209979823124523,AL,0.10197136177307443,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,0.490105783412065,Birmingham,"Birmingham, AL",13,B,B3,AL_Birmingham_B3_B_13,0.6626825928688049,0.5993272853766982,AL,0.040546160484304886,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,0.50045085127238,Birmingham,"Birmingham, AL",14,B,B4,AL_Birmingham_B4_B_14,0.6694565415382385,0.6307969624085611,AL,0.03034543239539714,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,1.363377814473916,Birmingham,"Birmingham, AL",15,B,B5,AL_Birmingham_B5_B_15,0.6851652264595032,0.5157998615811611,AL,0.10382000945655687,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,1.095644755057238,Birmingham,"Birmingham, AL",16,B,B6,AL_Birmingham_B6_B_16,0.6794521808624268,0.55245608256398,AL,0.04486378409895708,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,0.224122881235577,Birmingham,"Birmingham, AL",17,B,B7,AL_Birmingham_B7_B_17,0.5346174240112305,0.4980958225078426,AL,0.040359151020227337,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,0.415337320405576,Birmingham,"Birmingham, AL",18,B,B8,AL_Birmingham_B8_B_18,0.5421782732009888,0.531095929742154,AL,0.013601197223351534,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,0.179010022861801,Birmingham,"Birmingham, AL",19,B,B9,AL_Birmingham_B9_B_19,0.6492391228675842,0.6262360880242304,AL,0.04026288196206224,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,0.165261859684944,Birmingham,"Birmingham, AL",20,C,C1,AL_Birmingham_C1_C_20,0.493947833776474,0.4544557042337025,AL,0.05292672245221859,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,0.112705763170607,Birmingham,"Birmingham, AL",21,C,C1,AL_Birmingham_C1_C_21,0.6220608949661255,0.556795101204928,AL,0.039982369349749046,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,0.946118600735813,Birmingham,"Birmingham, AL",22,C,C1,AL_Birmingham_C1_C_22,0.5787261128425598,0.5080668145265667,AL,0.06453817636702905,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,0.925446880235294,Birmingham,"Birmingham, AL",23,C,C10,AL_Birmingham_C10_C_23,0.6745695471763611,0.5329200623947491,AL,0.1289385086991232,"{""type"":""MultiPoint"",""coordinates"":[]}"
