system:index,ar_ms_2,m_GEOID,max,mean,msa_nam,stdDev,.geo
00000000000000000000,15544.47112046762,42660,0.9358500242233276,0.6213105874164223,"Seattle-Tacoma-Bellevue, WA Metro Area",0.1930760588840884,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,11191.769307798355,44060,0.8351173996925354,0.5154597752626177,"Spokane-Spokane Valley, WA Metro Area",0.12380996838438198,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,20961.83068070944,41620,0.7831000089645386,0.14897416346096584,"Salt Lake City, UT Metro Area",0.10571635180606197,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,4108.336777755664,15380,0.7102130651473999,0.52098885157678,"Buffalo-Cheektowaga, NY Metro Area",0.08541348673201214,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,15568.987217263364,23420,0.860086977481842,0.3686269713239593,"Fresno, CA Metro Area",0.15080797400487075,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,1461.8294865110374,33780,0.7198348045349121,0.47057236351818676,"Monroe, MI Metro Area",0.0858276702379577,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,1579.7615399643053,12100,0.8284695744514465,0.5923167736110667,"Atlantic City-Hammonton, NJ Metro Area",0.17591849994150457,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,592.7167621287658,45940,0.7825173735618591,0.6115914126637926,"Trenton-Princeton, NJ Metro Area",0.08715468357365774,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,13839.521640881598,38300,0.7810652256011963,0.6057235774546076,"Pittsburgh, PA Metro Area",0.06555166177232495,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,5224.9244846847205,17460,0.7217869758605957,0.5411701449564402,"Cleveland-Elyria, OH Metro Area",0.0858268034064903,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,4339.726864412332,41140,0.6679652333259583,0.49505831583751253,"St. Joseph, MO-KS Metro Area",0.06475887751572625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,14456.313561183124,36420,0.7945261001586914,0.5128091187855909,"Oklahoma City, OK Metro Area",0.07830031860634012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,20932.458678718034,41180,0.7643956542015076,0.5366312158977674,"St. Louis, MO-IL Metro Area",0.11043037129404945,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,11622.100584779966,40060,0.8722000122070312,0.6900660056349208,"Richmond, VA Metro Area",0.10428950811824138,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,13743.797111713124,40900,0.8849391341209412,0.5081941527875449,"Sacramento-Roseville-Folsom, CA Metro Area",0.17425325040928438,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,6910.6039036004895,16620,0.7685478329658508,0.654681124385009,"Charleston, WV Metro Area",0.05025110631541541,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,5992.668140256502,19340,0.6923956274986267,0.4450583957544816,"Davenport-Moline-Rock Island, IA-IL Metro Area",0.07230517795720345,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,5560.002252497664,31340,0.8475086688995361,0.6919222528979839,"Lynchburg, VA Metro Area",0.05832688491193613,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,22273.33973395728,26420,0.8648130297660828,0.5866460329447262,"Houston-The Woodlands-Sugar Land, TX Metro Area",0.14591016816266064,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,8807.398244313743,37900,0.7005869746208191,0.45818885327239484,"Peoria, IL Metro Area",0.08607820741607368,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,6105.833206852888,33660,0.8668420910835266,0.717384128845312,"Mobile, AL Metro Area",0.10955137399481046,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,12171.569642153156,32820,0.8429304361343384,0.5839672449449101,"Memphis, TN-MS-AR Metro Area",0.13914306616571842,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,11032.243022935052,41740,0.8168478012084961,0.3855686386875622,"San Diego-Chula Vista-Carlsbad, CA Metro Area",0.16267030768927981,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,3868.860305207642,33340,0.7327608466148376,0.4665943580478215,"Milwaukee-Waukesha, WI Metro Area",0.0789295527254161,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,3088.4839429024255,44100,0.7026739120483398,0.4584663501285979,"Springfield, IL Metro Area",0.06817071177928276,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,7216.664632449613,33860,0.8644130229949951,0.7060794687739297,"Montgomery, AL Metro Area",0.0884632617306257,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,13425.459788914957,11100,0.7175521850585938,0.29678858613430226,"Amarillo, TX Metro Area",0.04364076044313845,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,1054.1022103468727,30620,0.6946825981140137,0.45042396639674076,"Lima, OH Metro Area",0.06805516347387076,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,19476.336830380027,33460,0.7901912927627563,0.4227562497615746,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",0.08949049689780722,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,12294.204829924476,37980,0.8564000129699707,0.6072219250259651,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",0.11540490968391089,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,14470.287327786084,21340,0.694621741771698,0.17189324391809735,"El Paso, TX Metro Area",0.04327654306427854,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,29133.034823712656,20260,0.7928739190101624,0.48138041911363727,"Duluth, MN-WI Metro Area",0.09299731852877229,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,3206.674346619156,13780,0.7809000015258789,0.5823813857614096,"Binghamton, NY Metro Area",0.0582025168787467,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,3694.9283014790867,44700,0.808626115322113,0.45394714829124044,"Stockton, CA Metro Area",0.11152789704288604,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,3700.1046631262157,42340,0.891700029373169,0.6675368867766116,"Savannah, GA Metro Area",0.15136337921282614,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,3064.9367731743723,38420,0.7352651953697205,0.4849530292700455,"Platteville, WI Micro Area",0.08600226923096448,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,2547.9592724850304,29540,0.7852499485015869,0.6049975802101125,"Lancaster, PA Metro Area",0.10288977812731663,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,9277.206152888337,12260,0.8870869278907776,0.687902448599641,"Augusta-Richmond County, GA-SC Metro Area",0.11262321500219406,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,6085.195640423861,20500,0.8531087040901184,0.7057352425741199,"Durham-Chapel Hill, NC Metro Area",0.08827726065000979,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,5537.419575697567,16860,0.8522826433181763,0.6886462379528835,"Chattanooga, TN-GA Metro Area",0.09286707483229331,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,22883.248478759575,12060,0.8743478059768677,0.6874927749004255,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",0.09587259620169386,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,5860.203893458624,13140,0.8604912757873535,0.6473440556026899,"Beaumont-Port Arthur, TX Metro Area",0.1425747245390109,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,11993.796193538497,17140,0.7799608707427979,0.5944367858410635,"Cincinnati, OH-KY-IN Metro Area",0.09596197916287488,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,4309.930786146067,25420,0.827308714389801,0.6156008944903081,"Harrisburg-Carlisle, PA Metro Area",0.08678072475061976,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,17674.848598302622,38900,0.9198130369186401,0.7078758491562994,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",0.1491737240909383,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,8669.56997256781,28940,0.8445826172828674,0.6800248567519148,"Knoxville, TN Metro Area",0.08817315216753788,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,6490.857947578446,40340,0.6584130525588989,0.43145241833680115,"Rochester, MN Metro Area",0.06601029917781516,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,7454.476322311444,10580,0.8337608575820923,0.6063119871469995,"Albany-Schenectady-Troy, NY Metro Area",0.0777062464992922,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,6437.0197368424215,45060,0.7859869599342346,0.5375579126542394,"Syracuse, NY Metro Area",0.092287974007558,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,3918.703380319294,21780,0.8147087097167969,0.5225342994033436,"Evansville, IN-KY Metro Area",0.11053445557627012,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,11414.509234879195,36540,0.7039521932601929,0.40384780809435367,"Omaha-Council Bluffs, NE-IA Metro Area",0.05581625461529048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,23328.379012575897,19100,0.7914782762527466,0.506019788776522,"Dallas-Fort Worth-Arlington, TX Metro Area",0.12634052734825346,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,10415.722945042084,19820,0.7264000177383423,0.49844673634911435,"Detroit-Warren-Dearborn, MI Metro Area",0.08804494736521914,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,9930.07149997282,17900,0.8646174073219299,0.6850310293305191,"Columbia, SC Metro Area",0.12190538966516923,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,7298.448007961771,17980,0.8636652231216431,0.7118153597608818,"Columbus, GA-AL Metro Area",0.07914084920165165,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,16730.91047557169,46140,0.7666478157043457,0.5392493623517458,"Tulsa, OK Metro Area",0.0947554478389699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,4500.62155525654,31420,0.8651347756385803,0.7181085916988401,"Macon-Bibb County, GA Metro Area",0.08267787102716216,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,4309.879800469936,39100,0.8061695694923401,0.6185606330113138,"Poughkeepsie-Newburgh-Middletown, NY Metro Area",0.08857162363186025,"{""type"":""MultiPoint"",""coordinates"":[]}"
