system:index,ar_ms_2,m_GEOID,max,mean,msa_nam,stdDev,.geo
00000000000000000000,15544.47112046762,42660,0.9969000220298767,0.5961168332960256,"Seattle-Tacoma-Bellevue, WA Metro Area",0.19403475209689183,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,11191.769307798355,44060,0.823199987411499,0.46282736262987206,"Spokane-Spokane Valley, WA Metro Area",0.11738008982494207,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,20961.83068070944,41620,0.6812217235565186,0.1513657200016056,"Salt Lake City, UT Metro Area",0.10364400844112084,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,4108.336777755664,15380,0.7505000233650208,0.512873648562189,"Buffalo-Cheektowaga, NY Metro Area",0.08525638772115918,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,15568.987217263364,23420,0.8296912908554077,0.3490250899555908,"Fresno, CA Metro Area",0.15446627680612787,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,1461.8294865110374,33780,0.7089999914169312,0.45597439941629764,"Monroe, MI Metro Area",0.08403717959952374,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,1579.7615399643053,12100,0.8255521655082703,0.5780718479899605,"Atlantic City-Hammonton, NJ Metro Area",0.17498119992344702,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,592.7167621287658,45940,0.7756652235984802,0.5966552979394953,"Trenton-Princeton, NJ Metro Area",0.09116033747804157,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,13839.521640881598,38300,0.7481478452682495,0.593620650013956,"Pittsburgh, PA Metro Area",0.06281840016968063,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,5224.9244846847205,17460,0.7033217549324036,0.5314291621942839,"Cleveland-Elyria, OH Metro Area",0.08633538912276525,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,4339.726864412332,41140,0.6505739092826843,0.47571368494834687,"St. Joseph, MO-KS Metro Area",0.05645507625032638,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,14456.313561183124,36420,0.7256869673728943,0.463050402662736,"Oklahoma City, OK Metro Area",0.08248654260036702,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,20932.458678718034,41180,0.7476652264595032,0.5360254741265036,"St. Louis, MO-IL Metro Area",0.10336078166427971,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,11622.100584779966,40060,0.868149995803833,0.6727337653453273,"Richmond, VA Metro Area",0.102910841051047,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,13743.797111713124,40900,0.9864000082015991,0.4811245101630821,"Sacramento-Roseville-Folsom, CA Metro Area",0.16467126875457821,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,6910.6039036004895,16620,0.7682825922966003,0.6441434597003471,"Charleston, WV Metro Area",0.04658418815554843,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,5992.668140256502,19340,0.6581217646598816,0.4372398857449318,"Davenport-Moline-Rock Island, IA-IL Metro Area",0.06515203775621602,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,5560.002252497664,31340,0.8246956467628479,0.6623407224653225,"Lynchburg, VA Metro Area",0.05856479043837572,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,22273.33973395728,26420,0.8615260720252991,0.5555982539039702,"Houston-The Woodlands-Sugar Land, TX Metro Area",0.14836005312681858,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,8807.398244313743,37900,0.6991782784461975,0.44973977515539687,"Peoria, IL Metro Area",0.07649904848997227,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,6105.833206852888,33660,0.8751450181007385,0.7061119501281368,"Mobile, AL Metro Area",0.1056791684277353,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,12171.569642153156,32820,0.834578275680542,0.5623897978797487,"Memphis, TN-MS-AR Metro Area",0.13101477225243224,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,11032.243022935052,41740,0.8254739046096802,0.35307398122709427,"San Diego-Chula Vista-Carlsbad, CA Metro Area",0.15869835777242447,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,3868.860305207642,33340,0.7249565124511719,0.45379255666381063,"Milwaukee-Waukesha, WI Metro Area",0.08014113934039205,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,3088.4839429024255,44100,0.675895631313324,0.4772123047142553,"Springfield, IL Metro Area",0.060052031106065974,"{""type"":""MultiPoint"",""coordinates"":[]}"
