name,value,wetland_type,sum_area_nwi_km2
id,AL_Montgomery_B3_B_124,Riverine,0.01053413328176421
id,AL_Montgomery_B3_B_125,Riverine,0.00364179086877807
id,AL_Montgomery_C1_C_126,Riverine,0.02144345697641082
id,AL_Montgomery_C3_C_128,Riverine,0.0051531409891713
id,AL_Montgomery_C4_C_130,Riverine,6.776570017966546e-4
id,AL_Montgomery_C6_C_132,Riverine,2.6453690701394225e-4
id,AL_Montgomery_D3_D_135,Freshwater Forested/Shrub Wetland,9.739922516152727e-5
id,AL_Montgomery_D3_D_135,Riverine,0.00466963571392515
id,AL_Montgomery_D4_D_136,Freshwater Emergent Wetland,0.04193229101610026
id,AL_Montgomery_D4_D_136,Freshwater Forested/Shrub Wetland,0.00537344420928816
id,AL_Montgomery_D4_D_136,Freshwater Pond,0.01603765539678291
id,AL_Montgomery_D4_D_136,Lake,0.01406191055913554
id,AL_Montgomery_D4_D_136,Riverine,2.7503586754627757e-4
id,AL_Montgomery_D6_D_138,Freshwater Forested/Shrub Wetland,0.03185121545063203
id,AL_Montgomery_D6_D_138,Riverine,0.00439569409126024
id,AL_Montgomery_D7_D_140,Freshwater Forested/Shrub Wetland,0.7899140035422156
id,AL_Montgomery_D7_D_140,Freshwater Pond,0.1030556020933248
id,AL_Montgomery_D7_D_140,Riverine,0.02088250144535362
id,AR_Little Rock_A1_A_141,Riverine,0.00160785834497399
id,AR_Little Rock_A2_A_142,Riverine,0.00861224011805711
id,AR_Little Rock_A5_A_145,Freshwater Forested/Shrub Wetland,8.984382248242909e-4
id,AR_Little Rock_A5_A_145,Lake,9.21979897436686e-5
id,AR_Little Rock_A5_A_145,Riverine,0.00653881158793124
id,AR_Little Rock_B3_B_151,Freshwater Forested/Shrub Wetland,0.00208276091926023
id,AR_Little Rock_B3_B_151,Riverine,0.00467583432441221
id,AR_Little Rock_B5_B_153,Riverine,1.111283121642191e-5
id,AR_Little Rock_C1_C_158,Riverine,0.0227697158455574
id,AR_Little Rock_C2_C_160,Lake,0.03307157811047882
id,AR_Little Rock_C4_C_162,Riverine,0.00223048046437954
id,AR_Little Rock_C7_C_165,Lake,3.305887580482522e-4
id,AR_Little Rock_D2_D_169,Riverine,0.00414086749714045
id,AR_Little Rock_D3_D_170,Freshwater Forested/Shrub Wetland,0.07553454068176157
id,AR_Little Rock_D3_D_170,Riverine,0.01995358184210995
id,AR_Little Rock_D4_D_171,Lake,0.05883716110999253
id,AR_Little Rock_D4_D_172,Lake,3.504443559795618e-7
id,AR_Little Rock_D5_D_173,Lake,0.02798901931016875
id,AR_Little Rock_D8_D_176,Lake,0.00694121681996929
id,AR_Little Rock_D8_D_176,Riverine,0.00196375338811897
id,AZ_Phoenix_A4_A_180,Freshwater Pond,0.00142073743758373
id,AZ_Phoenix_B6_B_187,Riverine,0.00918106443067755
id,AZ_Phoenix_B8_B_189,Riverine,0.02409063484622538
