msa_GEOID,NA_L2NAME
10420,MIXED WOOD PLAINS
10580,MIXED WOOD PLAINS
10900,OZARK/OUACHITA-APPALACHIAN FORESTS
11020,OZARK/OUACHITA-APPALACHIAN FORESTS
11100,SOUTH CENTRAL SEMIARID PRAIRIES
11700,OZARK/OUACHITA-APPALACHIAN FORESTS
12060,SOUTHEASTERN USA PLAINS
12100,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
12260,SOUTHEASTERN USA PLAINS
12420,SOUTH CENTRAL SEMIARID PRAIRIES
12580,SOUTHEASTERN USA PLAINS
12980,MIXED WOOD PLAINS
13020,CENTRAL USA PLAINS
13140,TEXAS-LOUISIANA COASTAL PLAIN
13780,MIXED WOOD PLAINS
13820,OZARK/OUACHITA-APPALACHIAN FORESTS
14460,MIXED WOOD PLAINS
14860,MIXED WOOD PLAINS
15380,MIXED WOOD PLAINS
15940,OZARK/OUACHITA-APPALACHIAN FORESTS
16620,OZARK/OUACHITA-APPALACHIAN FORESTS
16740,SOUTHEASTERN USA PLAINS
16860,OZARK/OUACHITA-APPALACHIAN FORESTS
16980,CENTRAL USA PLAINS
17140,CENTRAL USA PLAINS
17460,MIXED WOOD PLAINS
17900,SOUTHEASTERN USA PLAINS
17980,SOUTHEASTERN USA PLAINS
18140,CENTRAL USA PLAINS
18180,ATLANTIC HIGHLANDS
19100,SOUTH CENTRAL SEMIARID PRAIRIES
19340,SOUTHEASTERN USA PLAINS
19430,CENTRAL USA PLAINS
19500,CENTRAL USA PLAINS
19740,SOUTH CENTRAL SEMIARID PRAIRIES
19780,TEMPERATE PRAIRIES
19820,CENTRAL USA PLAINS
20220,MIXED WOOD PLAINS
20260,MIXED WOOD SHIELD
20500,SOUTHEASTERN USA PLAINS
21340,WARM DESERTS
21300,MIXED WOOD PLAINS
21500,MIXED WOOD PLAINS
21780,SOUTHEASTERN USA PLAINS
22420,MIXED WOOD PLAINS
23060,CENTRAL USA PLAINS
23420,MEDITERRANEAN CALIFORNIA
24340,MIXED WOOD PLAINS
24660,SOUTHEASTERN USA PLAINS
25420,OZARK/OUACHITA-APPALACHIAN FORESTS
25540,MIXED WOOD PLAINS
26420,TEXAS-LOUISIANA COASTAL PLAIN
26580,OZARK/OUACHITA-APPALACHIAN FORESTS
26900,CENTRAL USA PLAINS
27100,MIXED WOOD PLAINS
27140,SOUTHEASTERN USA PLAINS
27260,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
27780,OZARK/OUACHITA-APPALACHIAN FORESTS
28020,MIXED WOOD PLAINS
28140,TEMPERATE PRAIRIES
28940,OZARK/OUACHITA-APPALACHIAN FORESTS
29540,SOUTHEASTERN USA PLAINS
29620,MIXED WOOD PLAINS
30460,SOUTHEASTERN USA PLAINS
30620,CENTRAL USA PLAINS
30700,TEMPERATE PRAIRIES
30780,OZARK/OUACHITA-APPALACHIAN FORESTS
31080,MEDITERRANEAN CALIFORNIA
31140,SOUTHEASTERN USA PLAINS
31340,SOUTHEASTERN USA PLAINS
31420,SOUTHEASTERN USA PLAINS
31540,CENTRAL USA PLAINS
31700,ATLANTIC HIGHLANDS
32820,SOUTHEASTERN USA PLAINS
33100,EVERGLADES
33340,CENTRAL USA PLAINS
33460,MIXED WOOD PLAINS
33660,SOUTHEASTERN USA PLAINS
33780,CENTRAL USA PLAINS
33860,SOUTHEASTERN USA PLAINS
34620,CENTRAL USA PLAINS
34740,MIXED WOOD PLAINS
34980,SOUTHEASTERN USA PLAINS
35260,MIXED WOOD PLAINS
35300,MIXED WOOD PLAINS
35380,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
35620,SOUTHEASTERN USA PLAINS
36260,COLD DESERTS
36420,SOUTH CENTRAL SEMIARID PRAIRIES
36540,TEMPERATE PRAIRIES
36780,CENTRAL USA PLAINS
37900,SOUTHEASTERN USA PLAINS
37980,SOUTHEASTERN USA PLAINS
38060,WARM DESERTS
38300,OZARK/OUACHITA-APPALACHIAN FORESTS
38420,MIXED WOOD PLAINS
38900,WESTERN CORDILLERA
39020,OZARK/OUACHITA-APPALACHIAN FORESTS
39100,ATLANTIC HIGHLANDS
39300,MIXED WOOD PLAINS
39380,SOUTH CENTRAL SEMIARID PRAIRIES
39540,CENTRAL USA PLAINS
40060,SOUTHEASTERN USA PLAINS
40220,OZARK/OUACHITA-APPALACHIAN FORESTS
40340,MIXED WOOD PLAINS
40380,MIXED WOOD PLAINS
40420,CENTRAL USA PLAINS
