msa_GEOID,unit,mean_ndvi
40900,msau,0.5000070179511779
40980,msa,0.4513520738547518
40980,msau,0.4516481539163536
41140,msa,0.48952226144545574
41140,msau,0.4897370347172568
41180,msa,0.5380682438174739
41180,msau,0.5395427084457084
41620,msa,0.1489709441231124
41620,msau,0.14856691354308119
41700,msa,0.5055478414329302
41700,msau,0.5064270603482568
41740,msa,0.35915665423820375
41740,msau,0.35992518483154823
41860,msa,0.5045269450730292
41860,msau,0.5097764848442558
41940,msa,0.4615089692246453
41940,msau,0.46217414778867316
42340,msa,0.652158940880794
42340,msau,0.6528514143822416
42540,msa,0.5943723602430881
42540,msau,0.5952044744250272
42660,msa,0.6071547715318549
42660,msau,0.6086809293123324
43340,msa,0.6792641851659457
43340,msau,0.6802691374692948
43580,msa,0.402515161568821
43580,msau,0.4020287238854594
43780,msa,0.48819033369914994
43780,msau,0.48947955355740413
44060,msa,0.48949022758658023
44060,msau,0.49025228984325764
44100,msa,0.46874669536430463
44100,msau,0.46904713159523453
44140,msa,0.65133936763964
44140,msau,0.6527694774179562
44180,msa,0.6205912714030263
44180,msau,0.6212711675002757
44220,msa,0.4894610786074638
44220,msau,0.48995134251347133
44700,msa,0.4676855005500518
44700,msau,0.4684064741537884
45060,msa,0.5235201130182779
45060,msau,0.5242309833517111
45300,msa,0.6020509589687436
45300,msau,0.6042493920238685
45460,msa,0.5236759903414195
45460,msau,0.5240253132303345
45780,msa,0.436803987048732
45780,msau,0.43699080953637753
45820,msa,0.497379011980138
45820,msau,0.49768703023992156
45860,msa,0.6496304611785338
45860,msau,0.6498662353074458
45940,msa,0.590694426446702
45940,msau,0.5984085604572739
46140,msa,0.5288944233577173
46140,msau,0.5293474958400153
46540,msa,0.5428667129696302
46540,msau,0.5433969789711269
47260,msa,0.6286468687085844
47260,msau,0.6301105071682922
47380,msa,0.506957061394114
47380,msau,0.5075209902704151
47940,msa,0.4047662395694793
47940,msau,0.404974782462467
48540,msa,0.6173381228345471
48540,msau,0.6181430276862326
48620,msa,0.4543846910298996
48620,msau,0.45480036002539664
49180,msa,0.6595100453757534
49180,msau,0.6604696735207118
49620,msa,0.592658369130375
49620,msau,0.5937100267860399
49660,msa,0.5602990262268068
49660,msau,0.5612840308547271
